canonical_name,category,status,expected_type,default_value,constraints,effect_role,remarks,kv_keys,cpp_fields,aliases,runner_variables,source_paths,milestones,source_inventory
bcBottom,Conditions limites,existant catalogue 0292 | canonique | alias accepté,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Mode de condition limite sur la face basse.,Les périodiques doivent être appariés bas/haut.,bcBottom;boundaryBottom,bcBottom,boundaryBottom,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
bcLeft,Conditions limites,existant catalogue 0292 | canonique | alias accepté,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Mode de condition limite sur la face gauche.,Les périodiques doivent être appariés gauche/droite.,bcLeft;boundaryLeft,bcLeft,boundaryLeft,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
bcRight,Conditions limites,existant catalogue 0292 | canonique | alias accepté,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Mode de condition limite sur la face droite.,Les périodiques doivent être appariés gauche/droite.,bcRight;boundaryRight,bcRight,boundaryRight,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
bcTop,Conditions limites,existant catalogue 0292 | canonique | alias accepté,enum string,periodic,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Mode de condition limite sur la face haute.,Les périodiques doivent être appariés bas/haut.,bcTop;boundaryTop,bcTop,boundaryTop,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
bcX,Conditions limites,existant catalogue 0292 | canonique,enum string,(non stocké),periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Définit simultanément les modes gauche et droit.,"Alias de paire; appliqué à bcLeft et bcRight, puis les clés par face peuvent surcharger.",bcX,bcX,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
bcY,Conditions limites,existant catalogue 0292 | canonique,enum string,(non stocké),periodic; solid; specular; bounceback; inlet/input; outlet/output/open,Définit simultanément les modes bas et haut.,"Alias de paire; appliqué à bcBottom et bcTop, puis les clés par face peuvent surcharger.",bcY,bcY,,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
betaEOS,Projection Q6-g-f / fermeture virielle continuum 0493x7a–x7b,ajout 0493x7a/x7b; omission d’inventaire corrigée 0493x7q,double,0.05,fini >=0,Gain sans dimension de la fermeture EOS virielle continuum.,"Paramètre 0493x7b, désactivé physiquement tant que virialDensityKickEnable=false.",betaEOS,betaEOS,virialBeta,,include/simulation_params.h;src/cuda_q6_resident_0400.cu;src/params_io_base.cpp,x7a;x7b;x7q,complément exhaustif parseur 0493x7q
bodyAccelerationX,Forçage et contrôle d’écoulement,existant catalogue 0292 | canonique | alias accepté,double,0.0,nombre réel fini,Accélération volumique uniforme appliquée en x avant streaming.,,bodyAccelerationX;bodyForceX,bodyAccelerationX,bodyForceX,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
bodyAccelerationY,Forçage et contrôle d’écoulement,existant catalogue 0292 | canonique | alias accepté,double,0.0,nombre réel fini,Accélération volumique uniforme appliquée en y avant streaming.,,bodyAccelerationY;bodyForceY,bodyAccelerationY,bodyForceY,,include/simulation_params.h;src/params_io_base.cpp,,src_mpcd_params_catalogue_0292_cuda.csv | src_mpcd_params_cles_acceptees_0292_cuda.csv
bottomOpenXMax,Clés supprimées — migration vers segments 0143,supprimé 0143; rejet explicite; recensé 0490p,clé supprimée,(non applicable),Toujours rejetée; utiliser openBoundarySegmentsEnable/openBoundarySegmentCount/openBoundarySegmentK.,Clé params.kv lue par le parseur courant.,Ligne ajoutée par comparaison exhaustive du parseur params.kv au commit 36abd23 avec l’inventaire consolidé 0436b.,bottomOpenXMax,,,,,,delta parseur 0437–0490p / branche surf commit 36abd23
