implementation,kind,current_status,runtime_control,effective_dependencies,current_x12_usage,code_state,evidence
x10a,C++ helper / legacy kinetic path,"intégré, sans flag; encore appelé par le chemin cinétique historique",aucun flag dédié,chemin legacy q6_x9y_decide_crossing; non utilisé comme reconstruction Q2,indirect/non central; chaîne x12 prend x10o+Q2,q6_x10a_sample_alpha_normal calcule la normale bilinéaire au point de crossing; certains seals historiques restent sélectifs.,"src/cuda_q6_resident_0400.cu:3727-3790,4705-4755"
x10b historique,ancienne étape de rétention,supplanté; pas d'implémentation runtime x10b historique distincte dans le C++ courant,aucun,n/a,non,"Les scripts/analyzers x10b restent archivés; les occurrences 'x10b' C++ actuelles appartiennent surtout à x10biq (biquadratique), à ne pas confondre.",scripts/analyze_0493x10b_hard_bulk_retention.py; src/cuda_q6_resident_0400.cu:6440+ (x10biq)
x10c historique,ancienne barrière endpoint,retiré/supplanté,aucun,n/a,non,Le chemin x10h courant indique explicitement qu'il n'y a plus de barrière universelle x10c/x10e.,"src/cuda_q6_resident_0400.cu:9438,9938-9944"
x10d,réaction analytique hard-r1 historique,branche C++ encore présente mais non atteinte par l'orchestration hôte actuelle pour r>=1,aucun flag dédié,"q6_x9z_prepare_receiver_reaction contient branche r>=1, mais l'appel hôte de ce kernel se fait seulement dans else r<1",non,Code conservé pour historique/tests; hard-r1 actuel utilise x10i si aucune ablation continue/spéculaire n'est active.,"src/cuda_q6_resident_0400.cu:9108-9234,18421-18489"
x10e historique,ancienne barrière/mirror endpoint,retiré/supplanté,aucun,n/a,non,Absence explicite de barrière universelle x10c/x10e dans x10h.,"src/cuda_q6_resident_0400.cu:9438,9938-9944"
x10f/x10g,réaction globale conservative / réduction globale,définitions CUDA conservées mais sans call-site actif,aucun,aucun appel hôte trouvé aux kernels x10f/x10g dans le snapshot,non,Code mort retenu comme historique; la réaction hard-r1 legacy active est x10i mésoscopique.,"src/cuda_q6_resident_0400.cu:4999 (x10g def),8956 (x10f def); aucune seconde occurrence/call-site"
x10h,sémantique de crossing mobile legacy,"intégré au chemin cinétique historique, sans flag",aucun,legacy q6_x9y/q6_x9z lorsque x10o/n/m/j/k sont tous inactifs,bypassé par x10o,Gate relatif à l'interface/bain et absence de barrière universelle; seals seulement pour donneurs réfléchis pertinents.,"src/cuda_q6_resident_0400.cu:~4780-4860,9438,9938"
x10i,réaction mésoscopique conservative,"active fallback hard-r1, pas production x12",MPCD_X10I_REACTION_BLOCK_CELLS,r>=1 et aucune branche x10o/x10n/x10m/x10j/x10k,non,"Blocs décalés déterministiquement; taille clampée [2,32], défaut 5.","src/cuda_q6_resident_0400.cu:18044-18061,18421-18469"
x10j/x10k/x10m/x10n,ablations / architectures de paroi,implémentations sélectionnables conservées; toutes OFF en x12 production,"MPCD_X10J_*, MPCD_X10K_*, MPCD_X10M_*, MPCD_X10N_*",r>=1; priorité x10o > x10n > x10m > x10k > x10j,OFF,Les primitives x10n restent néanmoins réutilisées par x10o/Q2/x12a.,src/cuda_q6_resident_0400.cu:17803-17834; scripts/run_0493x12d_jfm524_measurement_case.sh:180-184
x10l,diagnostic pre-wall,actif et passif; cadence audit seulement,MPCD_X10L_PREWALL_INTERFACE_DIAGNOSTICS,chemin réflexion cinétique; auditDev seulement,ON JFM x12d; OFF x12cal/x12yl,Deux kernels diagnostic; aucune modification de vitesse/position.,src/cuda_q6_resident_0400.cu:18376-18410; scripts/run_0493x12d_jfm524_measurement_case.sh:185
