namespace,name,category,status,expected_type,default_value,constraints,effect_role,remarks,source_paths,source_inventory
CONTROL,livevis_control.kv:alpha,Clé fichier contrôle livevis / persistance temporelle,documenté 0436b,"double [0,1]",0.08 historique si absent; 1.0 recommandé pour bascule immédiate,0=no update visuel effectif; 1=displayScalar=scalar; 0<alpha<1=relaxation temporelle,Contrôle le mélange temporel entre le champ courant scalar et le champ affiché displayScalar.,"Indépendant de smoothPasses: smoothPasses lisse spatialement scalar, alpha lisse temporellement displayScalar. 0436b: field/particleTypeFilter doit déclencher un hard reset d’une frame.",src/live_visualization_0335.cpp,session_0436_particle_type_filter_livevis
CONTROL,livevis_control.kv:clip,Clé fichier contrôle livevis,ajout 0341a,double; <=0 active comportement auto/default selon renderer,initialisé depuis LIVE_VIS_CLIP,,Change à chaud l’échelle de saturation/clip du champ affiché.,"Pour le renderer CUDA, clip<=0 utilise le défaut interne dépendant du champ.",src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
CONTROL,livevis_control.kv:colormap,Clé fichier contrôle livevis,ajout 0342a,blue_red | gray | thermal,initialisé depuis LIVE_VIS_COLORMAP,,Change à chaud le colormap utilisé pour convertir le champ scalaire en RGBA.,N’affecte que la visualisation. Alias: grey/grayscale/greyscale -> gray; heat/hot -> thermal.,doc/livevis_colormap_control_0342a.md;src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
CONTROL,livevis_control.kv:field,Clé fichier contrôle livevis,ajout 0341a | mis à jour 0361 | étendu 0493x9d courbure p3,ux | uy | vx | vy | speed | density | mass | N | n | count | population | particle_count | cell_count | vorticity | omega | curl | chi | topo_chi | alpha | darcy_alpha | darcy_power | darcy | brinkman_power | curvature | kappa | curvature_x9b | kappa_x9b | curvature_p1 | kappa_p1 | curvature_x9c | kappa_x9c | curvature_p3 | kappa_p3,initialisé depuis LIVE_VIS_FIELD/SRC_LIVE_VIS_FIELD,voir Type attendu,Change à chaud le champ scalaire affiché.,omega et curl sont des alias de vorticity dans le renderer CUDA 0341a. | N/count affiche le nombre de particules fluides par cellule live. | 0493x9d: curvature/kappa affichent le champ p3 de production; les alias x9b/p1 conservent le baseline une passe et x9c/p3 le champ trois passes. Le cutoff x9r ne modifie pas le champ LiveVis brut.,doc/README_0493X9D_ACTIVE_LAPLACE.md;doc/livevis_field_N_0361.md;doc/livevis_field_minmax_0363.md;doc/livevis_quiver_overlay_0364.md;doc/livevis_quiver_smoothing_0365.md;include/cuda_live_field_0337.h;src/cuda_live_field_0337.cu;src/cuda_q6_resident_0400.cu;src/live_visualization_0335.cpp;src/main_src_mpcd_base.cpp,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | session_0361_0365_livevis | cycle_0493x9_surface_tension_20260819
CONTROL,livevis_control.kv:filterMode,Clé fichier contrôle livevis / filtered recording,ajout 0432a,none | ema,none,ema applique un filtrage exponentiel sur les champs conservatifs,Choisit le mode de filtrage temporel du recorder.,"Le filtrage est appliqué aux quantités conservatives rho/rho1/rho2/px/py/N/N1/N2, puis les champs dérivés sont reconstruits.",doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:filterSampleEvery,Clé fichier contrôle livevis / filtered recording,ajout 0432a,entier >= 1,initialisé depuis SRC_FILTERED_FIELD_SAMPLE_EVERY/MPCD_FILTERED_FIELD_SAMPLE_EVERY ou 1,>=1,Cadence d’échantillonnage interne des champs conservatifs.,Peut être plus fréquente que recordEvery pour filtrer sans écrire à chaque sample; verrouillé pendant la session.,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:filterTau,Clé fichier contrôle livevis / filtered recording,ajout 0432a,double >= 0,initialisé depuis SRC_FILTERED_FIELD_TAU/MPCD_FILTERED_FIELD_TAU ou 0.0,>=0; 0 désactive l’EMA effective,Temps caractéristique de l’EMA du recorder.,Verrouillé au démarrage de session; pertinent avec filterMode=ema.,doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
CONTROL,livevis_control.kv:gain,Clé fichier contrôle livevis,ajout 0341a,double > 0,initialisé depuis LIVE_VIS_GAIN,,Change à chaud le gain multiplicatif de visualisation.,Borné côté binaire à un minimum numérique positif.,src/cuda_live_field_0337.cu;src/live_visualization_0335.cpp,src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv
CONTROL,livevis_control.kv:liveEvery,Clé fichier contrôle livevis / cadence WYSIWYR 0433a,ajout 0433a,entier >= 1,initialisé depuis SRC_LIVE_VIS_EVERY/MPCD_LIVE_VIS_EVERY; défaut code 10 si absent,>=1; relu à chaud via livevis_control.kv,Cadence de production des frames livevis. Sert aussi de cadence par défaut des dumps filtrés quand recordEvery est absent ou <=0.,0433a: clé canonique pour le comportement WYSIWYR. La prise en compte dépend de la cadence de relecture du fichier de contrôle; l’enregistrement suit la cadence liveEvery par défaut.,src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp;src/live_visualization_0335.h,session_0433a_wysiwyr
CONTROL,livevis_control.kv:liveGridNx,Clé fichier contrôle livevis / filtered recording,ajout 0432a,entier >= 16,initialisé depuis SRC_LIVE_VIS_NX/MPCD_LIVE_VIS_NX ou 300,>=16,Change la résolution X de la grille livevis/recording pendant la preview.,"Si recordEnable=true, le changement de grille est ignoré jusqu’à arrêt de session; le recorder verrouille la valeur au démarrage.",doc/README_0432A_FILTERED_FIELD_RECORDING_STRICT.md;src/filtered_field_recorder_0432.cpp;src/live_visualization_0335.cpp,session_0432_filtered_recording
