name,category,status,expected_type,default_value,effect_role,remarks,target_parameters,source_paths,milestones,source_inventory
ALPHA,Alias script Darcy,ajout/documenté 0426,double,DARCY_ALPHA_MAX ou valeur script,Alias de darcyAlphaMax dans les scripts de démonstration.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
ALPHA_MIN,Alias script Darcy,ajout/documenté 0426,double,DARCY_ALPHA_MIN ou 0.0,Alias de darcyAlphaMin.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
ANALYZE_ONLY,Alias runner / analyse,ajout/normalisé 0493w4–0493w8,booléen/int,0,Réutilise les résultats existants et lance uniquement l’analyseur.,Évite de recalculer les six branches après une correction du checker.,,scripts/run_0493w8_tg_mono_dual_equivalence.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
AUTO_BUILD,Alias script / build,mis à jour 0337 livevis,booléen,1,Autorise le script à compiler automatiquement le binaire manquant.,"Dans les scripts livevis, le build automatique passe MPCD_ENABLE_LIVE_VIS=1.",,,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | src_mpcd_cuda_params_added_0337_livevis.csv | src_mpcd_cuda_resampling_params_delta_0314_to_0337_livevis.csv
BACKGROUND_MASS_CLOSURE_STRENGTH,Alias runner / injection multi-espèces,ajout/normalisé 0493w4–0493w8,double,0.0 pour gas; 1.0 pour liquid,Définit massClosureStrengthDeclared de l’espèce de fond.,Concerne le resampling; sans effet si resampling désactivé.,,scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
BACKGROUND_PHASE,Alias runner / injection multi-espèces,ajout/normalisé 0493w4–0493w8,liquid|gas,gas,Sélectionne la famille physique de l’espèce de fond.,Indépendant de BACKGROUND_TYPE.,,scripts/run_ok_injection_type1_into_type2.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
BACKGROUND_Q6_STRENGTH,Alias runner / injection multi-espèces,ajout/normalisé 0493w4–0493w8,double,0.0 pour gas; 1.0 pour liquid,Définit q6StrengthDeclared de l’espèce de fond.,Le cas liquide->gaz qualifié utilise 1/0.,,scripts/run_ok_injection_type1_into_type2_empty.sh,,delta runners 0493w4–0493w8 / branche surf commit caa5b6b
BIN,Alias script / binaire,mis à jour 0337 livevis,chemin exécutable,build/src_mpcd_base_cuda_q6_resident_livevis_0486 dans les runners 0493w4–0493w8,Binaire exécuté par les scripts portables livevis.,Peut être surchargé; independent_masked requiert le binaire CUDA Q6 résident 0486 ou un build équivalent.,,scripts/run_0493w8_tg_mono_dual_equivalence.sh;scripts/run_ok_injection_type1_into_type2_empty.sh,,src_mpcd_cuda_livevis_inventory_0314_to_0339a.csv | src_mpcd_cuda_livevis_inventory_0314_to_0342a.csv | mise à jour 0493w8 / commit caa5b6b | src_mpcd_cuda_params_added_0337_livevis.csv | src_mpcd_cuda_resampling_params_delta_0314_to_0337_livevis.csv
CASES,Runner qualification 0493x7i / sélection de cas,profil final x7q/x7i,liste/chaîne,tg poiseuille bend_pipe io_box,Contrôle le runner de qualification physique sans ajouter de clé backend propre.,Variable de script x7i; le runner transmet ensuite les paramètres/gates canoniques appropriés par mode. Profil gelé pour éviter le retour à des cas Poiseuille pathologiques.,,scripts/run_0493x7i_q6_g_f_physical_qualification.sh,x7i;x7q,mise à jour runner qualification 0493x7q
CHI_FILE,Alias script Darcy,ajout/documenté 0426,chemin fichier,DARCY_CHI_FILE ou chemin par défaut,Chemin du champ chi externe côté script.,Les alias script sont résolus avant écriture du .kv ou export de l’environnement.,,doc/README_0426_DARCY_FASTFLAGS.md;scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh;scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh;scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh,,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
