Clé utilisable dans params.kv,Champ canonique / cible,Statut,Type,Valeurs possibles / contraintes,Défaut canonique,Signification courte,Catégorie
alphaDeg,rotationAngle,alias accepté,double,réel non NaN; alphaDeg converti en radians,2.0943951023931953 rad,Angle de rotation SRD/MPCD.,Temps et collision SRC
bcBottom,bcBottom,canonique,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face basse.,Conditions limites
bcLeft,bcLeft,canonique,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face gauche.,Conditions limites
bcRight,bcRight,canonique,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face droite.,Conditions limites
bcTop,bcTop,canonique,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face haute.,Conditions limites
bcX,bcX,canonique,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,(non stocké),Définit simultanément les modes gauche et droit.,Conditions limites
bcY,bcY,canonique,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,(non stocké),Définit simultanément les modes bas et haut.,Conditions limites
bodyAccelerationX,bodyAccelerationX,canonique,double,nombre réel fini,0.0,Accélération volumique uniforme appliquée en x avant streaming.,Forçage et contrôle d’écoulement
bodyAccelerationY,bodyAccelerationY,canonique,double,nombre réel fini,0.0,Accélération volumique uniforme appliquée en y avant streaming.,Forçage et contrôle d’écoulement
bodyForceX,bodyAccelerationX,alias accepté,double,nombre réel fini,0.0,Accélération volumique uniforme appliquée en x avant streaming.,Forçage et contrôle d’écoulement
bodyForceY,bodyAccelerationY,alias accepté,double,nombre réel fini,0.0,Accélération volumique uniforme appliquée en y avant streaming.,Forçage et contrôle d’écoulement
boundaryBottom,bcBottom,alias accepté,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face basse.,Conditions limites
boundaryLeft,bcLeft,alias accepté,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face gauche.,Conditions limites
boundaryRight,bcRight,alias accepté,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face droite.,Conditions limites
boundaryTop,bcTop,alias accepté,enum string,periodic; solid; specular; bounceback; inlet/input; outlet/output/open,periodic,Mode de condition limite sur la face haute.,Conditions limites
closedCapacityInletMassFluxEnable,closedCapacityInletMassFluxEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active une loi de flux de masse d’entrée pilotée par capacité.,Réponse capacité fermée / viriel
closedCapacityInletMassFluxMultiplier,closedCapacityInletMassFluxMultiplier,canonique,double,>=0,1.0,Multiplicateur du flux de masse inlet piloté par capacité.,Réponse capacité fermée / viriel
closedCapacityMassGuardDisableOnOverfill,closedCapacityMassGuardDisableOnOverfill,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Désactive le mass guard lorsque l’overfill est détecté.,Réponse capacité fermée / viriel
closedCapacityMassRemapEta,closedCapacityMassRemapEta,canonique,double,>0,0.005,Paramètre eta d’atténuation du remap de masse en surcapacité.,Réponse capacité fermée / viriel
closedCapacityMassRemapPower,closedCapacityMassRemapPower,canonique,double,>0,2.0,Puissance de la loi d’atténuation du remap de masse.,Réponse capacité fermée / viriel
closedCapacityQ6Eta,closedCapacityQ6Eta,canonique,double,>0,0.005,Paramètre eta de réduction de la projection Q6 en surcapacité.,Réponse capacité fermée / viriel
closedCapacityQ6Power,closedCapacityQ6Power,canonique,double,>0,2.0,Puissance de la loi de réduction Q6.,Réponse capacité fermée / viriel
closedCapacityReferenceCellMass,closedCapacityReferenceCellMass,canonique,double,>=0; 0 => inférer,0.0,Masse de référence par cellule fluide.,Réponse capacité fermée / viriel
closedCapacityReferenceParticleMass,closedCapacityReferenceParticleMass,canonique,double,>0,1.0,Masse particulaire de référence.,Réponse capacité fermée / viriel
closedCapacityResponseEnable,closedCapacityResponseEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active la réponse à la surcapacité/overfill en domaine fermé.,Réponse capacité fermée / viriel
closedCapacityVirialBaseK,closedCapacityVirialBaseK,groupe dynamique,double,>=0,0.0,Raideur virielle de base.,Réponse capacité fermée / viriel
closedCapacityVirialEta,closedCapacityVirialEta,canonique,double,>0,0.005,Paramètre eta de la loi virielle.,Réponse capacité fermée / viriel
closedCapacityVirialGain,closedCapacityVirialGain,canonique,double,>=0,20.0,Gain de la composante virielle pilotée par l’overfill.,Réponse capacité fermée / viriel
closedCapacityVirialKickEnable,closedCapacityVirialKickEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active le kick viriel faible lié à la surcapacité.,Réponse capacité fermée / viriel
closedCapacityVirialKickStrength,closedCapacityVirialKickStrength,canonique,double,>=0,1.0,Intensité multiplicative du kick viriel.,Réponse capacité fermée / viriel
closedCapacityVirialMomentumCorrectionEnable,closedCapacityVirialMomentumCorrectionEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Corrige globalement le moment après kick viriel.,Réponse capacité fermée / viriel
closedCapacityVirialPower,closedCapacityVirialPower,canonique,double,>0,2.0,Puissance de la loi virielle.,Réponse capacité fermée / viriel
dt,dt,canonique,double,> 0,1.0e-3,Pas de temps MPCD/SRD.,Temps et collision SRC
dumpStateEvery,dumpStateEvery,canonique,entier,entier >= 0; 0 désactive les dumps périodiques,0,Cadence d’écriture des états .smpcd pour post-traitement.,I/O et exécution
fluidXMax0,fluidXMax0,canonique,double,-1 hérite de Lx; sinon > fluidXMin0 et <= Lx,-1.0,Borne x maximale initiale du domaine fluide actif.,Domaine actif mobile
fluidXMaxVelocity,fluidXMaxVelocity,canonique,double,nombre réel fini,0.0,Vitesse imposée de la borne x maximale du domaine actif.,Domaine actif mobile
fluidXMin0,fluidXMin0,canonique,double,">= 0, dans [0,Lx]",0.0,Borne x minimale initiale du domaine fluide actif.,Domaine actif mobile
fluidXMinVelocity,fluidXMinVelocity,canonique,double,nombre réel fini,0.0,Vitesse imposée de la borne x minimale du domaine actif.,Domaine actif mobile
fluidYMax0,fluidYMax0,canonique,double,-1 hérite de Ly; sinon > fluidYMin0 et <= Ly,-1.0,Borne y maximale initiale du domaine fluide actif.,Domaine actif mobile
fluidYMaxVelocity,fluidYMaxVelocity,canonique,double,nombre réel fini,0.0,Vitesse imposée de la borne y maximale du domaine actif.,Domaine actif mobile
fluidYMin0,fluidYMin0,canonique,double,">= 0, dans [0,Ly]",0.0,Borne y minimale initiale du domaine fluide actif.,Domaine actif mobile
fluidYMinVelocity,fluidYMinVelocity,canonique,double,nombre réel fini,0.0,Vitesse imposée de la borne y minimale du domaine actif.,Domaine actif mobile
fluidYTop0,fluidYMax0,alias accepté,double,-1 hérite de Ly; sinon > fluidYMin0 et <= Ly,-1.0,Borne y maximale initiale du domaine fluide actif.,Domaine actif mobile
fluidYTopVelocity,fluidYMaxVelocity,alias accepté,double,nombre réel fini,0.0,Vitesse imposée de la borne y maximale du domaine actif.,Domaine actif mobile
gridShiftEnable,gridShiftEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,true,Active le décalage aléatoire de grille avant collision.,Temps et collision SRC
immersedCircleCx,immersedSolidCx,alias accepté,double,nombre réel fini,0.5,Abscisse initiale du centre du cercle.,Solide immergé — cercle
immersedCircleCy,immersedSolidCy,alias accepté,double,nombre réel fini,0.5,Ordonnée initiale du centre du cercle.,Solide immergé — cercle
immersedCircleEnable,immersedSolidEnable,alias accepté,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active un solide immergé analytique.,Solide immergé
immersedCircleFractionSamples,immersedSolidFractionSamples,alias accepté,entier,> 0,4,Nombre d’échantillons pour estimer la fraction fluide/solide des cellules.,Solide immergé
immersedCircleOmega,immersedSolidOmega,alias accepté,double,nombre réel fini,0.0,"Vitesse angulaire du cercle, positive antihoraire.",Solide immergé — mouvement
immersedCircleR,immersedSolidR,alias accepté,double,> 0 si shape=circle/disk/disc,0.1,Rayon du cercle immergé.,Solide immergé — cercle
immersedCircleVx,immersedSolidVx,alias accepté,double,nombre réel fini,0.0,Vitesse de translation du solide en x.,Solide immergé — mouvement
immersedCircleVy,immersedSolidVy,alias accepté,double,nombre réel fini,0.0,Vitesse de translation du solide en y.,Solide immergé — mouvement
immersedCircleWallUx,immersedSolidWallUx,alias accepté,double,nombre réel fini,0.0,Offset uniforme de vitesse de paroi du solide en x.,Solide immergé — mouvement
immersedCircleWallUy,immersedSolidWallUy,alias accepté,double,nombre réel fini,0.0,Offset uniforme de vitesse de paroi du solide en y.,Solide immergé — mouvement
immersedSolidCx,immersedSolidCx,canonique,double,nombre réel fini,0.5,Abscisse initiale du centre du cercle.,Solide immergé — cercle
immersedSolidCy,immersedSolidCy,canonique,double,nombre réel fini,0.5,Ordonnée initiale du centre du cercle.,Solide immergé — cercle
immersedSolidEnable,immersedSolidEnable,canonique,booléen,booléen: true/1/yes/on ou false/0/no/off,false,Active un solide immergé analytique.,Solide immergé
immersedSolidFractionSamples,immersedSolidFractionSamples,canonique,entier,> 0,4,Nombre d’échantillons pour estimer la fraction fluide/solide des cellules.,Solide immergé
immersedSolidOmega,immersedSolidOmega,canonique,double,nombre réel fini,0.0,"Vitesse angulaire du cercle, positive antihoraire.",Solide immergé — mouvement
immersedSolidR,immersedSolidR,canonique,double,> 0 si shape=circle/disk/disc,0.1,Rayon du cercle immergé.,Solide immergé — cercle
immersedSolidShape,immersedSolidShape,canonique,enum string,circle; disk; disc; rectangle; rect; box; step,circle,Forme du solide immergé.,Solide immergé
immersedSolidVx,immersedSolidVx,canonique,double,nombre réel fini,0.0,Vitesse de translation du solide en x.,Solide immergé — mouvement
immersedSolidVy,immersedSolidVy,canonique,double,nombre réel fini,0.0,Vitesse de translation du solide en y.,Solide immergé — mouvement
immersedSolidWallUx,immersedSolidWallUx,canonique,double,nombre réel fini,0.0,Offset uniforme de vitesse de paroi du solide en x.,Solide immergé — mouvement
immersedSolidWallUy,immersedSolidWallUy,canonique,double,nombre réel fini,0.0,Offset uniforme de vitesse de paroi du solide en y.,Solide immergé — mouvement
immersedSolidXMax,immersedSolidXMax,canonique,double,nombre réel fini,0.25,Borne x maximale du rectangle.,Solide immergé — rectangle
immersedSolidXMin,immersedSolidXMin,canonique,double,nombre réel fini,0.0,Borne x minimale du rectangle.,Solide immergé — rectangle
immersedSolidYMax,immersedSolidYMax,canonique,double,nombre réel fini,0.50,Borne y maximale du rectangle.,Solide immergé — rectangle
