Inventaire source,Type entrée,Nom,Catégorie,Statut,Type attendu,Défaut,Effet / rôle,Remarques,Sources repérées
livevis_env | resampling_env,env_flag,MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318,Sécurité VK / chemin wall+circle résident,existant 0318; quarantainé 0331,booléen/env truthy,false/off,Demande l’ancien chemin résident combiné wall+circle 0318.,Chemin conservé uniquement pour diagnostic; ne s’active plus sans le garde UNSAFE. Le chemin validé par défaut utilise le resident classic safe/no0318. | 0338c: le chemin performant validé est 0318 + MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_MINIMAL_DOWNLOAD_0338=1; 0318 seul reste à traiter comme chemin historique/quarantainé selon scripts.,src/src_mpcd_base.cpp; src/cuda_streaming_wall_simple_0246.cu; doc/README_safe_no0318*
livevis_env | resampling_env,env_flag,MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318_UNSAFE_ENABLE,Sécurité VK / chemin wall+circle résident,ajout 0331,booléen/env truthy,false/off,Garde explicite pour autoriser le chemin 0318 unsafe.,Doit rester à 0 pour les runs de production/validation. À 1 seulement pour reproduire l’ancien chemin fautif ou diagnostiquer.,src/src_mpcd_base.cpp; doc/README_safe_no0318*
livevis_env | resampling_env,env_flag,SRC_GPU_WALL_CIRCLE_RESIDENT_0318,Alias script / sécurité VK,ajout scripts 0331,booléen/env truthy,false/off,Alias de script pour documenter/désactiver le chemin 0318.,Ne remplace pas le garde UNSAFE. Préférer MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318=0 dans les scripts. | 0338c: le chemin performant validé est 0318 + MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_MINIMAL_DOWNLOAD_0338=1; 0318 seul reste à traiter comme chemin historique/quarantainé selon scripts.,scripts/run_*0331*; scripts/run_vk_periodic_cylinder_oracle_cuda.sh
livevis_env | resampling_env,env_flag,SRC_GPU_WALL_FAST_DIAG_0320,Diagnostics rapides wall CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides wall.,Désactivé dans les oracles lorsque l’on veut des hits complets. Peut être activé pour réduire les retours diagnostics.,scripts/run_vk_periodic_cylinder_oracle_cuda.sh; src/cuda_streaming_wall_simple_0246.cu
livevis_env | resampling_env,env_flag,SRC_GPU_IMMERSED_CIRCLE_FAST_DIAG_0330,Diagnostics rapides immersed circle CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides du cylindre.,À 0 pour valider les hits cylindre complets; à 1 pour réduire le coût diagnostic si disponible.,scripts/run_vk_periodic_cylinder_oracle_cuda.sh; src/cuda_immersed_circle_0284.cu
livevis_env | resampling_env,env_flag,MPCD_CUDA_IMMERSED_CIRCLE_FAST_DIAGNOSTICS_0330,Diagnostics rapides immersed circle CUDA,ajout 0330/0331,booléen/env truthy,false/off,Active un retour diagnostic plus léger pour le cylindre CUDA.,N’affecte pas la physique; seulement les compteurs/diagnostics. Utile pour benchmark mais à désactiver pour oracle hits complets.,src/cuda_immersed_circle_0284.cu; scripts/run_vk_periodic_cylinder_oracle_cuda.sh
livevis_env | resampling_env,env_flag,MPCD_CUDA_CLASSIC_SRC_PERIODIC_RESIDENT_0260,SRC classic CUDA résident,existant; confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le chemin classic SRC CUDA résident périodique.,"Depuis 0334a, il peut rester compatible avec immersed circle; ne doit pas forcer un fallback CPU en présence d’un cylindre.",src/src_mpcd_base.cpp; src/cuda_streaming_periodic_0245.cu; doc/README_full_periodic_circle_resident_0334a.md
livevis_env | resampling_env,env_flag,MPCD_CUDA_STREAMING_PERIODIC_0245,Streaming CUDA résident,confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le streaming périodique CUDA.,0334a : supporte le cas full-periodic + immersed circle sans téléchargement hôte par step.,src/cuda_streaming_periodic_0245.cu; doc/README_full_periodic_circle_resident_0334a.md
livevis_env | resampling_env,env_flag,MPCD_CUDA_IMMERSED_CIRCLE_0284,Obstacle immersed circle CUDA,confirmé 0334a,booléen/env truthy,false/off sauf scripts VK,Active le traitement CUDA du cylindre immergé.,0334a : peut consommer l’état CUDA résident partagé et éviter les upload/download particulaires à chaque step.,src/cuda_immersed_circle_0284.cu; doc/README_full_periodic_circle_resident_0334a.md
livevis_env | resampling_env,env_flag,MPCD_CUDA_IMMERSED_CIRCLE_0284_DOWNLOAD_ALL,Obstacle immersed circle CUDA,existant; à éviter en production,booléen/env truthy,false/off,Force un téléchargement complet après le cylindre 0284.,Très coûteux; utile seulement pour diagnostic comparatif. Incompatible avec l’objectif chemin résident.,src/cuda_immersed_circle_0284.cu
livevis_env | resampling_env,env_flag,MPCD_CUDA_PERSISTENT_SRC_COLLISION_SHARED_0251,État particulaire CUDA partagé,existant; réutilisé 0334/0337,booléen/env truthy,false/off sauf chemin résident,Active/réutilise l’état particulaire CUDA partagé pour les étapes SRC résidentes.,"Base du chemin resident et du live renderer CUDA; la fraîcheur après resampling doit être traitée avec prudence. | 0338c: pour wall+circle 0318 + minimal-download, src_collision peut autoriser le pont shared-state/thermostat 0251 afin de consommer l’état GPU frais produit par immersed_circle, sans ré-upload particulaire privé.",src/cuda_shared_particle_state_0251.cpp; src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu
livevis_env | resampling_env,env_flag,MPCD_ENABLE_LIVE_VIS,Build option live visualization,ajout 0335,booléen/env truthy,false/off,Compile le support GLFW/OpenGL de visualisation live.,"Flag de build. Si absent, le module livevis reste no-op et le build standard ne dépend pas de GLFW/OpenGL.",scripts/build_src_mpcd_cuda_0315b.sh; src/live_visualization_0335.cpp; doc/README_live_visualization_0335a.md
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_ENABLE,Live visualization runtime,ajout 0335,booléen/env truthy,false/off; 1 dans scripts livevis 0337,Active la fenêtre livevis au runtime.,N’affecte pas les builds/runs production si absent. Les scripts 0337 livevis l’activent par défaut.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh; doc/README_live_visualization_0335a.md
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_FIELD,Live visualization runtime,ajout 0335/0337,string: ux|uy|speed|vorticity|mass|density,ux dans code; dépend du script 0337,Choisit le champ rendu dans la fenêtre live.,"Par défaut scripts: VK/TG=vorticity, Poiseuille=ux, step/box=speed.",src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_EVERY,Live visualization runtime,ajout 0335 | mis à jour 0339a,entier > 0,25,Variable exportée vers le binaire pour la cadence livevis.,Augmenter pour réduire le coût d’affichage. | 0339a: export effectif issu de LIVE_VIS_EVERY dans les scripts livevis; défaut script recommandé 25.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_NX,Live visualization runtime,ajout 0335/0337,entier >= 16,300 scripts 0337,Résolution x de la grille/champ live.,Plus élevé = plus fin mais plus coûteux. 300×80 validé comme compromis.,src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_NY,Live visualization runtime,ajout 0335/0337,entier >= 16,80 scripts 0337,Résolution y de la grille/champ live.,Plus élevé = plus fin mais plus coûteux. 300×80 validé comme compromis.,src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_ALPHA,Live visualization runtime,ajout 0335c,"double [0,1]",0.08 scripts 0337,Lissage temporel du rendu CPU fallback.,Le chemin CUDA field rend directement une image compacte; alpha est surtout utile au fallback CPU.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_CLIP,Live visualization runtime,ajout 0335c,double; <=0 auto,-1 auto,Échelle de saturation/clip couleur.,Valeur fixe utile pour comparer plusieurs runs; auto utile pour inspection rapide.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_QUANTILE,Live visualization runtime,ajout 0335c,"double dans (0,1]",0.995,Quantile d’échelle auto du rendu CPU fallback.,Limite l’effet du bruit particulaire et des outliers.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_GAIN,Live visualization runtime,ajout 0335c/0337,double > 0,1.0,Gain visuel appliqué à la colormap.,Réduire si l’image est saturée rouge/bleu; augmenter pour renforcer le contraste.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_SMOOTH_PASSES,Live visualization runtime,ajout 0335c/0337,entier >= 0,1 scripts 0337,Nombre de passes de lissage spatial du champ live.,Vorticité: souvent 1 ou 2; champs vitesse: 0 ou 1.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_WINDOW_SCALE,Live visualization runtime,ajout 0335,entier >= 1,1,Facteur d’échelle de la fenêtre OpenGL.,N’affecte pas la physique ni la grille de calcul.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_VSYNC,Live visualization runtime,ajout 0335,booléen/int,0 scripts 0337,Contrôle vsync de la fenêtre GLFW.,0 recommandé pour ne pas brider la simulation; 1 utile si affichage trop rapide.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_LOG_SOURCE,Live visualization runtime,ajout 0335c; amélioré 0337d | mis à jour 0339a,booléen/env truthy,0,Variable exportée vers le binaire pour logs source livevis.,"Depuis 0337d, le statut se réécrit sur la même ligne au lieu d’empiler les logs. | 0339a: export effectif issu de LIVE_VIS_LOG_SOURCE; défaut script recommandé 0.",src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_CUDA_FIELD,Live visualization CUDA field renderer,ajout 0337a,booléen/env truthy,0 code; 1 scripts 0337,Active le rendu de champ sur GPU avec téléchargement RGBA compact.,Chemin recommandé pour visualiser resampling sans host mirror lent. Transfert typique 300×80×4 octets/frame.,include/cuda_live_field_0337.h; src/cuda_live_field_0337.cu; src/main_src_mpcd_base.cpp
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_CUDA_SNAPSHOT,Live visualization snapshot expérimental,ajout 0336a; gardé expérimental,booléen/env truthy,0,Tente un snapshot compact des particules depuis l’état CUDA partagé.,Non fiable après resampling dans les tests 0336a; ne pas utiliser par défaut.,src/live_visualization_0335.cpp; src/cuda_shared_particle_state_0251.cpp; doc/README_livevis_cuda_field_0337a.md
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_RESAMPLING_HOST_MIRROR,Live visualization fallback resampling,ajout 0335d,booléen/env truthy,0 scripts 0337; 1 fallback manuel,Force une voie hôte visible pour le resampling.,Fiable mais lente. À utiliser si CUDA_FIELD échoue ou pour debug.,scripts/run_vk_full_periodic_livevis_0335a.sh; src/live_visualization_0335.cpp
livevis_env | resampling_env,env_flag,SRC_LIVE_VIS_FORCE_HOST_MIRROR,Live visualization fallback/debug,ajout 0335c,booléen/env truthy,0,Force la visualisation à utiliser un miroir hôte.,Debug uniquement; plus lent que CUDA_FIELD.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh
livevis_params | resampling_params,param_or_script_alias,BIN,Alias script / binaire,mis à jour 0337 livevis,chemin exécutable,build/src_mpcd_base_cuda_livevis_0337d dans scripts 0337,Binaire exécuté par les scripts portables livevis.,Peut être surchargé pour tester un autre build; les scripts livevis nécessitent un binaire compilé avec MPCD_ENABLE_LIVE_VIS=1.,
livevis_params | resampling_params,param_or_script_alias,AUTO_BUILD,Alias script / build,mis à jour 0337 livevis,booléen,1,Autorise le script à compiler automatiquement le binaire manquant.,"Dans les scripts livevis, le build automatique passe MPCD_ENABLE_LIVE_VIS=1.",
livevis_params | resampling_params,param_or_script_alias,RUN_MODES,Alias script / cas de run,existant; utilisé scripts portables,liste: classic resampling,resampling ou classic resampling selon script,Choisit les modes exécutés par les scripts portables.,Peut lancer classic et resampling pour comparaison visuelle.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_ENABLE,Alias script livevis 0337,ajout 0337,booléen,1,Active la visualisation dans les scripts portables livevis.,Exporté vers SRC_LIVE_VIS_ENABLE. Mettre 0 pour exécuter sans fenêtre.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_FIELD,Alias script livevis 0337,ajout 0337,ux|uy|speed|vorticity|mass|density,dépend du script,Champ affiché par défaut dans la fenêtre live.,"Par défaut: VK/TG=vorticity, Poiseuille=ux, backward-step/box=speed.",
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_EVERY,Alias script livevis 0337,ajout 0337 | mis à jour 0339a,entier >0,25,Cadence de visualisation live : une frame toutes les N étapes.,"Exporté vers SRC_LIVE_VIS_EVERY. | 0339a: défaut réduit à 25 pour limiter le coût livevis; mesures indicatives 500 steps: every1≈45.4s, every25≈32.8–38.7s selon bruit. Override possible par environnement.",
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_NX,Alias script livevis 0337,ajout 0337,entier,300,Résolution x du champ livevis.,Exporté vers SRC_LIVE_VIS_NX.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_NY,Alias script livevis 0337,ajout 0337,entier,80,Résolution y du champ livevis.,Exporté vers SRC_LIVE_VIS_NY.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_ALPHA,Alias script livevis 0337,ajout 0337,double,0.08,Lissage temporel visuel.,Principalement utile au fallback CPU.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_CLIP,Alias script livevis 0337,ajout 0337,double; <=0 auto,-1,Échelle de saturation couleur.,Exemples: ux clip 0.2–0.5; vorticity clip 5–20 selon cas.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_QUANTILE,Alias script livevis 0337,ajout 0337,"double dans (0,1]",0.995,Quantile auto de mise à l’échelle.,Limiter les outliers dans le fallback CPU.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_GAIN,Alias script livevis 0337,ajout 0337,double >0,1.0,Gain couleur.,Réduire si la colormap est saturée; augmenter si le contraste est faible.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_SMOOTH_PASSES,Alias script livevis 0337,ajout 0337,entier >=0,1,Lissage spatial du rendu.,Vorticity utilise souvent 1–2 passes.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_WINDOW_SCALE,Alias script livevis 0337,ajout 0337,entier >=1,1,Facteur d’échelle de la fenêtre.,N’affecte pas la simulation.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_VSYNC,Alias script livevis 0337,ajout 0337,booléen/int,0,Vsync GLFW.,0 recommandé pour ne pas brider le calcul.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_LOG_SOURCE,Alias script livevis 0337,ajout 0337d | mis à jour 0339a,booléen,0,Contrôle le log de source/fallback livevis.,Exporté vers SRC_LIVE_VIS_LOG_SOURCE; depuis 0337d ne spamme plus le terminal. | 0339a: défaut réduit à 0 pour éviter le bruit de logs; remettre à 1 pour debug.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_CUDA_FIELD,Alias script livevis 0337,ajout 0337a,booléen,1,Active le renderer CUDA de champ.,Mode recommandé par défaut pour classic et resampling livevis. | 0339a: Défaut conservé : renderer CUDA field actif.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_CUDA_SNAPSHOT,Alias script livevis 0337,ajout 0336/0337,booléen,0,Active le snapshot compact expérimental.,Non fiable après resampling; garder à 0 sauf diagnostic.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_RESAMPLING_HOST_MIRROR,Alias script livevis 0337,ajout 0335d/0337,booléen,0,Force le fallback hôte en resampling.,Fiable mais lent; garder à 0 avec CUDA_FIELD=1. | 0339a: Défaut conservé : éviter le host mirror resampling livevis.,
livevis_params | resampling_params,param_or_script_alias,LIVE_VIS_FORCE_HOST_MIRROR,Alias script livevis 0337,ajout 0335c,booléen,0,Force le miroir hôte pour visualisation.,Debug seulement. | 0339a: Défaut conservé : éviter le host mirror forcé livevis.,
livevis_params | resampling_params,param_or_script_alias,INACTIVE_SLOTS_RESAMPLING,Alias script livevis/benchmark,confirmé 0337,entier,750000 pour certains scripts,Nombre de slots inactifs pour les cas resampling.,N’affecte pas le SRC classic si RUN_MODES=classic; utile pour réservoir resampling.,
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,false/off sauf scripts 0295+,Active le survey CUDA post-SRC non-mutant du support particulaire.,Écrit cuda_resampling_support_survey_0295.csv; ne modifie pas l’état.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295_EVERY,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,10 ou cadence script,Cadence du survey 0295.,0 ou absent désactive selon script; utilisé après SRC sur grille physique.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_SUPPORT_SURVEY_0295_MODE,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,string,full,"Mode diagnostic: csv_only, sync_only, alloc_only, deposit_only, full.",Utilisé pour bisection VK 0295; pas nécessaire en production.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_MASS_RECONDITION_0296,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,booléen/env truthy,false/off,Active le reconditionnement conservatif des masses sans changement de support.,Post-SRC; conserve masse et impulsion cellulaire.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
resampling_env,env_flag,MPCD_CUDA_RESAMPLING_MASS_RECONDITION_0296_EVERY,CUDA resampling post-SRC — survey et guard,ajout 0295-0303,entier,10 ou 20,Cadence du reconditionnement de masse 0296.,Utilisé dans les scripts 0296/0303.,doc/GPU_RESAMPLING_CUDA_0295..0303; scripts/run_cuda_resampling_*; src/cuda_resampling_*
