name,entry_type,category,status,expected_type,default,effect_role,remarks,sources,source_inventory
MPCD_DARCY_FASTFLAGS_ENABLE,env_flag,Darcy/Brinkman CUDA résident — fastflags,ajout 0426,booléen/env truthy,1,Active le bloc commun 0426 de drapeaux rapides dans les scripts Darcy de démonstration.,Mettre à 0 pour diagnostic/ablation. La correction 0426 a ramené le backward step Darcy/chiVP segmenté au coût du chemin résident rapide.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
MPCD_CUDA_PERSISTENT_SRC_COLLISION_FAST_THERMOSTAT_DIAG_0321,env_flag,CUDA collision SRC résidente — diagnostic thermostat,ajout 0321; propagé Darcy 0426,booléen/env truthy,1,Utilise le diagnostic thermostat rapide dans le chemin collision/thermostat résident.,Propagé aux scripts Darcy 0426 ; son absence contribuait au chemin lent observé dans les runs segmentés.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
MPCD_CUDA_PERSISTENT_SRC_COLLISION_SKIP_HOST_CELLID_FILL_0327,env_flag,CUDA collision SRC résidente — réduction transferts hôte,ajout 0327; propagé Darcy 0426,booléen/env truthy,1,Évite le remplissage hôte des cell-id lorsque le chemin résident peut réutiliser les métadonnées.,Fastflag 0426 pour scripts Darcy ; réduire upload/setup dans les cas chi/segments.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
MPCD_CUDA_PERSISTENT_SRC_COLLISION_SKIP_WALL_VP_DIAG_0319,env_flag,CUDA collision SRC résidente — diagnostic wallVP,ajout 0319; propagé Darcy 0426,booléen/env truthy,1,Désactive le diagnostic wallVP coûteux dans les chemins où il n’est pas requis.,Fastflag 0426 pour scripts Darcy ; utile pour éviter le bloc géométrique/VP inutile pendant les démos Darcy.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
MPCD_LIVE_VIS_ENABLE,env_flag,Live visualization runtime,mis à jour 0426,booléen/env truthy,copie de LIVE_VIS_ENABLE/SRC_LIVE_VIS_ENABLE,Alias historique/runtime pour activer ou désactiver la visualisation temps réel.,Exporté explicitement par les scripts Darcy et livevis ; garder synchronisé avec SRC_LIVE_VIS_ENABLE.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
SRC_LIVE_VIS_HOLD_ON_EXIT,env_flag,Live visualization runtime,ajout 0421; propagé Darcy 0425/0426,booléen/env truthy,1 dans scripts interactifs; 0 recommandé en batch,Conserve la fenêtre livevis ouverte à la fin du run lorsque la visualisation est active.,Introduit pour inspection interactive ; désactiver en campagnes automatiques afin que le script termine.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
OMP_NUM_THREADS,env_flag,OpenMP runtime,documenté 0426,entier positif,THREADS du script,Nombre de threads OpenMP utilisés par le binaire hôte et certaines phases CPU.,Les scripts Darcy exportent explicitement OMP_NUM_THREADS pour reproductibilité.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
OMP_PROC_BIND,env_flag,OpenMP runtime,documenté 0426,chaîne OpenMP,close,Politique de liaison des threads OpenMP.,Exporté par les scripts de démonstration pour réduire les variations de runtime.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
OMP_PLACES,env_flag,OpenMP runtime,documenté 0426,chaîne OpenMP,cores,Ensemble de lieux de placement OpenMP.,Exporté par les scripts de démonstration pour stabiliser les mesures.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
OMP_DYNAMIC,env_flag,OpenMP runtime,documenté 0426,booléen OpenMP,false,Autorise ou non l’ajustement dynamique du nombre de threads OpenMP.,Désactivé par les scripts pour garder des timings reproductibles.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_env_flags_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
