Variable environnement,Catégorie,Statut 0286,Type attendu,Défaut implicite,Effet / rôle,Remarques,Sources repérées
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318,Sécurité VK / chemin wall+circle résident,existant 0318; quarantainé 0331,booléen/env truthy,false/off,Demande l’ancien chemin résident combiné wall+circle 0318.,Chemin conservé uniquement pour diagnostic; ne s’active plus sans le garde UNSAFE. Le chemin validé par défaut utilise le resident classic safe/no0318.,src/src_mpcd_base.cpp; src/cuda_streaming_wall_simple_0246.cu; doc/README_safe_no0318*
MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318_UNSAFE_ENABLE,Sécurité VK / chemin wall+circle résident,ajout 0331,booléen/env truthy,false/off,Garde explicite pour autoriser le chemin 0318 unsafe.,Doit rester à 0 pour les runs de production/validation. À 1 seulement pour reproduire l’ancien chemin fautif ou diagnostiquer.,src/src_mpcd_base.cpp; doc/README_safe_no0318*
SRC_GPU_WALL_CIRCLE_RESIDENT_0318,Alias script / sécurité VK,ajout scripts 0331,booléen/env truthy,false/off,Alias de script pour documenter/désactiver le chemin 0318.,Ne remplace pas le garde UNSAFE. Préférer MPCD_CUDA_CLASSIC_SRC_WALL_CIRCLE_RESIDENT_0318=0 dans les scripts.,scripts/run_*0331*; scripts/run_vk_periodic_cylinder_oracle_cuda.sh
SRC_GPU_WALL_FAST_DIAG_0320,Diagnostics rapides wall CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides wall.,Désactivé dans les oracles lorsque l’on veut des hits complets. Peut être activé pour réduire les retours diagnostics.,scripts/run_vk_periodic_cylinder_oracle_cuda.sh; src/cuda_streaming_wall_simple_0246.cu
SRC_GPU_IMMERSED_CIRCLE_FAST_DIAG_0330,Diagnostics rapides immersed circle CUDA,utilisé validations 0331+,booléen/env truthy,0 dans validations sûres,Contrôle côté script les diagnostics rapides du cylindre.,À 0 pour valider les hits cylindre complets; à 1 pour réduire le coût diagnostic si disponible.,scripts/run_vk_periodic_cylinder_oracle_cuda.sh; src/cuda_immersed_circle_0284.cu
MPCD_CUDA_IMMERSED_CIRCLE_FAST_DIAGNOSTICS_0330,Diagnostics rapides immersed circle CUDA,ajout 0330/0331,booléen/env truthy,false/off,Active un retour diagnostic plus léger pour le cylindre CUDA.,N’affecte pas la physique; seulement les compteurs/diagnostics. Utile pour benchmark mais à désactiver pour oracle hits complets.,src/cuda_immersed_circle_0284.cu; scripts/run_vk_periodic_cylinder_oracle_cuda.sh
MPCD_CUDA_CLASSIC_SRC_PERIODIC_RESIDENT_0260,SRC classic CUDA résident,existant; confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le chemin classic SRC CUDA résident périodique.,"Depuis 0334a, il peut rester compatible avec immersed circle; ne doit pas forcer un fallback CPU en présence d’un cylindre.",src/src_mpcd_base.cpp; src/cuda_streaming_periodic_0245.cu; doc/README_full_periodic_circle_resident_0334a.md
MPCD_CUDA_STREAMING_PERIODIC_0245,Streaming CUDA résident,confirmé 0334a,booléen/env truthy,false/off sauf scripts CUDA,Active le streaming périodique CUDA.,0334a : supporte le cas full-periodic + immersed circle sans téléchargement hôte par step.,src/cuda_streaming_periodic_0245.cu; doc/README_full_periodic_circle_resident_0334a.md
MPCD_CUDA_IMMERSED_CIRCLE_0284,Obstacle immersed circle CUDA,confirmé 0334a,booléen/env truthy,false/off sauf scripts VK,Active le traitement CUDA du cylindre immergé.,0334a : peut consommer l’état CUDA résident partagé et éviter les upload/download particulaires à chaque step.,src/cuda_immersed_circle_0284.cu; doc/README_full_periodic_circle_resident_0334a.md
MPCD_CUDA_IMMERSED_CIRCLE_0284_DOWNLOAD_ALL,Obstacle immersed circle CUDA,existant; à éviter en production,booléen/env truthy,false/off,Force un téléchargement complet après le cylindre 0284.,Très coûteux; utile seulement pour diagnostic comparatif. Incompatible avec l’objectif chemin résident.,src/cuda_immersed_circle_0284.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_SHARED_0251,État particulaire CUDA partagé,existant; réutilisé 0334/0337,booléen/env truthy,false/off sauf chemin résident,Active/réutilise l’état particulaire CUDA partagé pour les étapes SRC résidentes.,Base du chemin resident et du live renderer CUDA; la fraîcheur après resampling doit être traitée avec prudence.,src/cuda_shared_particle_state_0251.cpp; src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu
MPCD_ENABLE_LIVE_VIS,Build option live visualization,ajout 0335,booléen/env truthy,false/off,Compile le support GLFW/OpenGL de visualisation live.,"Flag de build. Si absent, le module livevis reste no-op et le build standard ne dépend pas de GLFW/OpenGL.",scripts/build_src_mpcd_cuda_0315b.sh; src/live_visualization_0335.cpp; doc/README_live_visualization_0335a.md
SRC_LIVE_VIS_ENABLE,Live visualization runtime,ajout 0335,booléen/env truthy,false/off; 1 dans scripts livevis 0337,Active la fenêtre livevis au runtime.,N’affecte pas les builds/runs production si absent. Les scripts 0337 livevis l’activent par défaut.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh; doc/README_live_visualization_0335a.md
SRC_LIVE_VIS_FIELD,Live visualization runtime,ajout 0335/0337,string: ux|uy|speed|vorticity|mass|density,ux dans code; dépend du script 0337,Choisit le champ rendu dans la fenêtre live.,"Par défaut scripts: VK/TG=vorticity, Poiseuille=ux, step/box=speed.",src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_EVERY,Live visualization runtime,ajout 0335,entier > 0,10 code; 20 scripts 0337,Cadence d’affichage en nombre de steps.,Augmenter pour réduire le coût d’affichage.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_NX,Live visualization runtime,ajout 0335/0337,entier >= 16,300 scripts 0337,Résolution x de la grille/champ live.,Plus élevé = plus fin mais plus coûteux. 300×80 validé comme compromis.,src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_NY,Live visualization runtime,ajout 0335/0337,entier >= 16,80 scripts 0337,Résolution y de la grille/champ live.,Plus élevé = plus fin mais plus coûteux. 300×80 validé comme compromis.,src/main_src_mpcd_base.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_ALPHA,Live visualization runtime,ajout 0335c,"double [0,1]",0.08 scripts 0337,Lissage temporel du rendu CPU fallback.,Le chemin CUDA field rend directement une image compacte; alpha est surtout utile au fallback CPU.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_CLIP,Live visualization runtime,ajout 0335c,double; <=0 auto,-1 auto,Échelle de saturation/clip couleur.,Valeur fixe utile pour comparer plusieurs runs; auto utile pour inspection rapide.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_QUANTILE,Live visualization runtime,ajout 0335c,"double dans (0,1]",0.995,Quantile d’échelle auto du rendu CPU fallback.,Limite l’effet du bruit particulaire et des outliers.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_GAIN,Live visualization runtime,ajout 0335c/0337,double > 0,1.0,Gain visuel appliqué à la colormap.,Réduire si l’image est saturée rouge/bleu; augmenter pour renforcer le contraste.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_SMOOTH_PASSES,Live visualization runtime,ajout 0335c/0337,entier >= 0,1 scripts 0337,Nombre de passes de lissage spatial du champ live.,Vorticité: souvent 1 ou 2; champs vitesse: 0 ou 1.,src/live_visualization_0335.cpp; src/cuda_live_field_0337.cu; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_WINDOW_SCALE,Live visualization runtime,ajout 0335,entier >= 1,1,Facteur d’échelle de la fenêtre OpenGL.,N’affecte pas la physique ni la grille de calcul.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_VSYNC,Live visualization runtime,ajout 0335,booléen/int,0 scripts 0337,Contrôle vsync de la fenêtre GLFW.,0 recommandé pour ne pas brider la simulation; 1 utile si affichage trop rapide.,src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_LOG_SOURCE,Live visualization runtime,ajout 0335c; amélioré 0337d,booléen/env truthy,0,Affiche la source de rendu livevis.,"Depuis 0337d, le statut se réécrit sur la même ligne au lieu d’empiler les logs.",src/live_visualization_0335.cpp; scripts/run_*_0337_livevis.sh
SRC_LIVE_VIS_CUDA_FIELD,Live visualization CUDA field renderer,ajout 0337a,booléen/env truthy,0 code; 1 scripts 0337,Active le rendu de champ sur GPU avec téléchargement RGBA compact.,Chemin recommandé pour visualiser resampling sans host mirror lent. Transfert typique 300×80×4 octets/frame.,include/cuda_live_field_0337.h; src/cuda_live_field_0337.cu; src/main_src_mpcd_base.cpp
SRC_LIVE_VIS_CUDA_SNAPSHOT,Live visualization snapshot expérimental,ajout 0336a; gardé expérimental,booléen/env truthy,0,Tente un snapshot compact des particules depuis l’état CUDA partagé.,Non fiable après resampling dans les tests 0336a; ne pas utiliser par défaut.,src/live_visualization_0335.cpp; src/cuda_shared_particle_state_0251.cpp; doc/README_livevis_cuda_field_0337a.md
SRC_LIVE_VIS_RESAMPLING_HOST_MIRROR,Live visualization fallback resampling,ajout 0335d,booléen/env truthy,0 scripts 0337; 1 fallback manuel,Force une voie hôte visible pour le resampling.,Fiable mais lente. À utiliser si CUDA_FIELD échoue ou pour debug.,scripts/run_vk_full_periodic_livevis_0335a.sh; src/live_visualization_0335.cpp
SRC_LIVE_VIS_FORCE_HOST_MIRROR,Live visualization fallback/debug,ajout 0335c,booléen/env truthy,0,Force la visualisation à utiliser un miroir hôte.,Debug uniquement; plus lent que CUDA_FIELD.,src/main_src_mpcd_base.cpp; scripts/run_*_0337_livevis.sh
