Variable environnement,Catégorie,Statut 0286,Type attendu,Défaut implicite,Effet / rôle,Remarques,Sources repérées
MPCD_BACKEND,Backend principal,principal utilisateur,string,cuda dans scripts/run_src_mpcd_cuda_primary_0275.sh; openmp si demandé explicitement,Choisit le lanceur primaire cuda/openmp.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0275_CUDA_PRIMARY_BACKEND.md; scripts/run_src_mpcd_cuda_primary_0275.sh; scripts/run_src_mpcd_openmp_0275.sh
MPCD_RUNTIME_BACKEND,Backend principal,principal utilisateur,string,utilisé si MPCD_BACKEND absent; cuda par défaut dans runner primaire,Alias/fallback pour choisir cuda/openmp lorsque MPCD_BACKEND absent.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0275_CUDA_PRIMARY_BACKEND.md; scripts/run_src_mpcd_cuda_primary_0275.sh
MPCD_CUDA_CLASSIC_SRC_SOLID_RESIDENT_0262,Autres variables internes,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident solide/rectangle SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0262.md; doc/GPU_PATCH_0262_RESIDENTFIX.md; doc/GPU_PATCH_0262_STREAMFIX.md; doc/GPU_PATCH_0277_CUDA_THERMOSTAT_SOLID_RECTANGLE.md; scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_FULLFACE_RESIDENT_0263,CUDA SRC classic — inlet/outlet full-face,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident inlet/outlet full-face SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0263D_INACTIVE_RESERVOIR_FIX.md; doc/GPU_PATCH_0263_IO_FULLFACE_RESIDENT.md; doc/GPU_PATCH_0268_IO_FULLFACE_RESERVOIR_POOL.md; scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_FULLFACE_RESIDENT_0263_STRICT,CUDA SRC classic — inlet/outlet full-face,validé 0286,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Active le chemin résident inlet/outlet full-face SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; scripts/run_cuda_persistent_src_thermostat_io_fullface_0279.sh; scripts/run_cuda_persistent_src_thermostat_io_fullface_0279b.sh; scripts/run_cuda_persistent_src_thermostat_io_segmented_0280.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_FULLFACE_RESIDENT_0263_THREADS,CUDA SRC classic — inlet/outlet full-face,validé 0286,entier,256 le plus souvent,Active le chemin résident inlet/outlet full-face SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_IO_SEGMENTED_RESIDENT_0264,CUDA SRC classic — inlet/outlet segmenté,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident inlet/outlet segmenté SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0264_IO_SEGMENTED_RESIDENT.md; doc/GPU_PATCH_0280B_CUDA_THERMOSTAT_IO_SEGMENTED_RUNNERFIX.md; doc/GPU_PATCH_0280_CUDA_THERMOSTAT_IO_SEGMENTED.md; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_SEGMENTED_RESIDENT_0264_STRICT,CUDA SRC classic — inlet/outlet segmenté,validé 0286,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Active le chemin résident inlet/outlet segmenté SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0264_IO_SEGMENTED_RESIDENT.md; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_persistent_src_thermostat_io_segmented_0280.sh; scripts/run_cuda_persistent_src_thermostat_io_segmented_0280b.sh; scripts/run_cuda_persistent_src_thermostat_io_segmented_0280c.sh; scripts/src_gpu_demo_common_0283.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_SEGMENTED_RESIDENT_0264_THREADS,CUDA SRC classic — inlet/outlet segmenté,validé 0286,entier,256 le plus souvent,Active le chemin résident inlet/outlet segmenté SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_PERIODIC_RESIDENT_0260,CUDA SRC classic — périodique,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident périodique SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0260.md; doc/GPU_PATCH_0262_RESIDENTFIX.md; doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_classic_src_periodic_resident_0260.sh; ...
MPCD_CUDA_CLASSIC_SRC_WALL_RESIDENT_0261,CUDA SRC classic — wall-simple,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le chemin résident wall-simple SRC classic CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0261.md; doc/GPU_PATCH_0262_RESIDENTFIX.md; doc/GPU_PATCH_0270_WALL_RESIDENT_BOUNDARY_SKIP.md; doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; ...
MPCD_CUDA_IMMERSED_CIRCLE_0284,CUDA solide immergé — cercle,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active/paramètre le support CUDA du cercle solide 0284.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; scripts/run_demo_src_classic_cuda_von_karman_cylinder_0285.sh; src/cuda_immersed_circle_0284.cu
MPCD_CUDA_IMMERSED_CIRCLE_0284_DOWNLOAD_ALL,CUDA solide immergé — cercle,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active/paramètre le support CUDA du cercle solide 0284.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; scripts/run_demo_src_classic_cuda_von_karman_cylinder_0285.sh; src/cuda_immersed_circle_0284.cu
MPCD_CUDA_IMMERSED_CIRCLE_0284_THREADS,CUDA solide immergé — cercle,validé 0286,entier,256 le plus souvent,Active/paramètre le support CUDA du cercle solide 0284.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; src/cuda_immersed_circle_0284.cu
MPCD_CUDA_PERSISTENT_SRC_COLLISION_IMMERSED_CIRCLE_0284,CUDA solide immergé — cercle,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active/paramètre le support CUDA du cercle solide 0284.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0284_CUDA_IMMERSED_CIRCLE_PERIODIC.md; scripts/run_cuda_persistent_src_thermostat_circle_0284.sh; scripts/run_cuda_persistent_src_thermostat_circle_io_0285.sh; scripts/run_demo_src_classic_cuda_von_karman_cylinder_0285.sh; src/src_collision.cpp
MPCD_CUDA_PERSISTENT_SRC_THERMOSTAT_SHARED_0251_0260,CUDA thermostat,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Consomme l’état particulaire partagé pour le thermostat fusionné.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0260.md; doc/GPU_PATCH_0280B_CUDA_THERMOSTAT_IO_SEGMENTED_RUNNERFIX.md; doc/GPU_PATCH_0280_CUDA_THERMOSTAT_IO_SEGMENTED.md; scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_classic_src_periodic_resident_0260.sh; ...
MPCD_CUDA_PERSISTENT_SRC_THERMOSTAT_SHARED_0251_0260_STRICT,CUDA thermostat,validé 0286,booléen/env truthy sauf mention contraire,souvent true dans validateurs; dépend du module,Consomme l’état particulaire partagé pour le thermostat fusionné.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_classic_src_periodic_resident_0260.sh; scripts/run_cuda_persistent_src_thermostat_io_segmented_0280.sh; scripts/run_cuda_persistent_src_thermostat_io_segmented_0280b.sh; scripts/run_cuda_persistent_src_thermostat_io_segmented_0280c.sh; scripts/src_gpu_demo_common_0283.sh; src/src_collision.cpp
MPCD_CUDA_PERSISTENT_SRC_THERMOSTAT_USE,CUDA thermostat,validé 0286,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Active le thermostat CUDA persistant/fusionné selon le chemin.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0244.md; doc/GPU_PATCH_0278_CUDA_THERMOSTAT_PISTON.md; doc/GPU_PATCH_0280B_CUDA_THERMOSTAT_IO_SEGMENTED_RUNNERFIX.md; doc/GPU_PATCH_0280C_CUDA_THERMOSTAT_IO_RESIDENT_SUPPORT.md; scripts/run_cuda_boundary_cell_moments_0250.sh; scripts/run_cuda_boundary_stack_0248.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0267_BOUNDARY_THREADS,Autres variables internes,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0267_IO_RESIDENT_BOUNDARY_PARALLEL.md; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_RESIDENT_0271_ASYNC_STREAM,Autres variables internes,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0271_WALL_PERIODIC_FIXED_OVERHEAD.md; doc/GPU_PATCH_0274_FUSED_STREAM_DEPOSIT.md; scripts/run_cuda_classic_src_resident_perf_0271.sh; scripts/run_cuda_classic_src_resident_perf_0272.sh; scripts/run_cuda_classic_src_resident_perf_0273.sh; scripts/run_cuda_classic_src_resident_perf_0274.sh; ...
MPCD_CUDA_CLASSIC_SRC_RESIDENT_0271_DISABLE_ASYNC_STREAM,Autres variables internes,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0271_WALL_PERIODIC_FIXED_OVERHEAD.md; src/cuda_streaming_periodic_0245.cu; src/cuda_streaming_wall_simple_0246.cu
MPCD_CUDA_PERSISTENT_THREADS_PER_BLOCK,Autres variables internes,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_classic_src_io_fullface_resident_0263.sh; scripts/run_cuda_classic_src_io_segmented_resident_0264.sh; scripts/run_cuda_classic_src_mode_0259.sh; scripts/run_cuda_classic_src_periodic_resident_0260.sh; scripts/run_cuda_classic_src_solid_resident_0262.sh; scripts/run_cuda_classic_src_wall_resident_0261.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0268_DISABLE_POOL,CUDA SRC classic — inlet/outlet full-face,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0268_IO_FULLFACE_RESERVOIR_POOL.md; doc/GPU_PATCH_0269A_IO_SEGMENTED_RESERVOIR_POOL.md; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0268_INSERT_THREADS,CUDA SRC classic — inlet/outlet full-face,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0268_IO_FULLFACE_RESERVOIR_POOL.md; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0268_POOL_THREADS,CUDA SRC classic — inlet/outlet full-face,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0268_IO_FULLFACE_RESERVOIR_POOL.md; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_INLET_OUTLET_FULLFACE_0249A_THREADS,CUDA SRC classic — inlet/outlet full-face,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_boundary_cell_moments_0250.sh; scripts/run_cuda_classic_src_mode_0259.sh; scripts/run_cuda_inlet_outlet_fullface_0249a.sh; scripts/run_cuda_inlet_outlet_segmented_0249b.sh; scripts/run_cuda_persistent_cell_state_0251.sh; scripts/run_cuda_persistent_src_collision_min_download_0257.sh; ...
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0269_DISABLE_SEGMENTED_POOL,CUDA SRC classic — inlet/outlet segmenté,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,doc/GPU_PATCH_0269A_IO_SEGMENTED_RESERVOIR_POOL.md; src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0269_POOL_THREADS,CUDA SRC classic — inlet/outlet segmenté,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_CLASSIC_SRC_IO_RESIDENT_0269_SEGMENTED_INSERT_THREADS,CUDA SRC classic — inlet/outlet segmenté,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,src/cuda_classic_src_io_resident_0263.cu
MPCD_CUDA_INLET_OUTLET_SEGMENTED_0249B_THREADS,CUDA SRC classic — inlet/outlet segmenté,réglage performance/interne,entier,256 le plus souvent,Nombre de threads CUDA par bloc pour le noyau associé.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_cuda_boundary_cell_moments_0250.sh; scripts/run_cuda_classic_src_mode_0259.sh; scripts/run_cuda_inlet_outlet_segmented_0249b.sh; scripts/run_cuda_persistent_cell_state_0251.sh; scripts/run_cuda_persistent_src_collision_min_download_0257.sh; scripts/run_cuda_persistent_src_collision_piston_0255.sh; ...
MPCD_CUDA_STREAMING_PISTON_0247B_DOWNLOAD_ALL,CUDA SRC classic — piston/mobile wall,réglage performance/interne,booléen/env truthy sauf mention contraire,false/off sauf activation par scripts validés,Variable interne de contrôle du backend CUDA.,Ne se place pas dans params.kv; à passer dans l’environnement du shell ou dans les scripts de validation/démo.,scripts/run_src_mpcd_cuda_primary_0275.sh
