name,entry_type,category,status,expected_type,default,values_constraints,canonical_field_target,aliases,effect_role,remarks,sources,source_inventory
darcyBrinkmanEnable,kv_param,Darcy/Brinkman — activation,ajout 0343; complété 0426,booléen,false,true/false,DarcyBrinkmanConfig.enabled,,Active le module de pénalisation Darcy--Brinkman piloté par chi.,"Le test darcyOff 0425/0426 a montré que le coût lent observé venait des flags CUDA, pas de ce booléen seul.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiMode,kv_param,Darcy/Brinkman — champ chi,ajout 0345,chaîne,analytic,analytic|file,DarcyBrinkmanConfig.chiMode,,Sélectionne un chi analytique ou un champ chi externe lu depuis fichier.,Le mode file est la voie recommandée pour géométries arbitraires et optimisation externe.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiFile,kv_param,Darcy/Brinkman — champ chi,ajout 0345,chemin fichier,,fichier .f32/.png selon script; doit correspondre à darcyChiNx/Ny,DarcyBrinkmanConfig.chiFile,"CHI_FILE,DARCY_CHI_FILE",Chemin du champ chi externe utilisé par le solveur.,"Convention : chi=1 fluide libre, chi=0 solide/poreux.",scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiFileFormat,kv_param,Darcy/Brinkman — champ chi,ajout 0345,chaîne,float32,float32; autres formats selon lecteurs disponibles,DarcyBrinkmanConfig.chiFileFormat,"CHI_FILE_FORMAT,DARCY_CHI_FILE_FORMAT",Format de stockage du champ chi externe.,Les scripts de démonstration utilisent majoritairement float32 row-major.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiNx,kv_param,Darcy/Brinkman — champ chi,ajout 0345,entier,Nx,>0; doit correspondre à la grille,DarcyBrinkmanConfig.darcyChiNx,,Dimension x du champ chi externe.,Doit rester cohérente avec la grille de simulation.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyChiNy,kv_param,Darcy/Brinkman — champ chi,ajout 0345,entier,Ny,>0; doit correspondre à la grille,DarcyBrinkmanConfig.darcyChiNy,,Dimension y du champ chi externe.,Doit rester cohérente avec la grille de simulation.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyAlphaMin,kv_param,Darcy/Brinkman — interpolation alpha,ajout 0343,double,0.0,>=0,DarcyBrinkmanConfig.alphaMin,"ALPHA_MIN,DARCY_ALPHA_MIN",Valeur minimale de la résistance alpha dans le fluide libre.,Typiquement 0 pour ne pas freiner le fluide chi=1.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyAlphaMax,kv_param,Darcy/Brinkman — interpolation alpha,ajout 0343; complété 0425/0426,double,"variable : 80, 8000, 800000 selon script",>=0,DarcyBrinkmanConfig.alphaMax,"ALPHA,DARCY_ALPHA_MAX",Valeur maximale de résistance dans les zones chi≈0.,0425 backward step validé avec alphaMax=8e5 dans mean_outward_bath+chiVP après fastflags.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyQ,kv_param,Darcy/Brinkman — interpolation alpha,ajout 0343,double,0.1,>0,DarcyBrinkmanConfig.q,DARCY_Q,Paramètre de raideur de l’interpolation Borrvall--Petersson alpha(chi).,Plus petit q accentue la transition solide/fluide.,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
darcyUSolidX,kv_param,Darcy/Brinkman — vitesse solide,ajout 0343,double,0.0,réel,DarcyBrinkmanConfig.uSolidX,DARCY_USOLID_X,Composante x de la vitesse cible solide vers laquelle le frein Darcy relaxe.,,scripts/run_src_classic_cuda_darcy_chi_lr_segments_0411.sh; scripts/run_src_classic_cuda_darcy_chi_naca_periodic_0414.sh; scripts/run_src_classic_cuda_darcy_chi_vonkarman_periodic_0416.sh; scripts/run_src_classic_cuda_darcy_chi_backward_step_0425.sh; doc/README_0426_DARCY_FASTFLAGS.md,src_mpcd_params_inventory_consolidated_0365.csv + compléments Darcy/Brinkman/livevis 0411-0426
